iter	Logloss
0	0.6892693217
1	0.6859462261
2	0.6820050659
3	0.6783201095
4	0.6760131264
5	0.6710596554
6	0.6680497636
7	0.6647487786
8	0.6607151996
9	0.6555267843
10	0.6518757391
11	0.6481305146
12	0.6457747746
13	0.6421564559
14	0.6399698956
15	0.6372328573
16	0.6329852487
17	0.6295848867
18	0.6254102754
19	0.6234870799
20	0.6202825117
21	0.6171193814
22	0.6141634541
23	0.6119617332
24	0.6099471801
25	0.605907869
26	0.6016017374
27	0.5994778923
28	0.5963508305
29	0.5929989686
30	0.5904382452
31	0.5881853735
32	0.5839296209
33	0.5814030911
34	0.5796078787
35	0.5767857618
36	0.5726671983
37	0.5709229669
38	0.5677895021
39	0.5646520404
40	0.5620291946
41	0.5596897369
42	0.5585662954
43	0.55616904
44	0.5548940168
45	0.5525333534
46	0.5510819132
47	0.5491661327
48	0.5464759189
49	0.543469116
50	0.540240083
51	0.5380675746
52	0.5356326351
53	0.5347654006
54	0.5338086527
55	0.5317802669
56	0.5287788382
57	0.5258778902
58	0.5235024825
59	0.5218764679
60	0.5200677995
61	0.5171072457
62	0.5151766511
63	0.513862877
64	0.5112176495
65	0.508959884
66	0.5061148987
67	0.5039406152
68	0.5010684567
69	0.4993390726
70	0.4962655579
71	0.4934648471
72	0.4918112583
73	0.4895440999
74	0.4863364412
75	0.4847383318
76	0.4824810523
77	0.4800818751
78	0.4775944526
79	0.4759077075
80	0.4739445549
81	0.4723918057
82	0.4716067228
83	0.4699697101
84	0.4678453267
85	0.4656743571
86	0.4639219304
87	0.4626808331
88	0.4605662959
89	0.458544971
90	0.4571439247
91	0.4552613204
92	0.4525418062
93	0.4504520467
94	0.448421364
95	0.4467423664
96	0.445229433
97	0.4437680412
98	0.4415215857
99	0.4394217841
100	0.4373692794
101	0.4354798581
102	0.433422083
103	0.4329884633
104	0.431338788
105	0.4294800337
106	0.4274612999
107	0.4259601083
108	0.4248455787
109	0.4240762256
110	0.4228562734
111	0.4207289319
112	0.4188102867
113	0.4171211986
114	0.4159496098
115	0.4143492082
116	0.4134124562
117	0.4124530915
118	0.4109050016
119	0.4103466499
120	0.4093435697
121	0.4082798949
122	0.4067680495
